stkcd,名稱,change_type,eff_date,remarks,event_type,ann_date
600828,成商集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600887,伊利股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601038,一拖股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600888,新疆眾和,加入,2014-11-17,首張可買入及賣出股票名單,In,
600895,張江高科,加入,2014-11-17,首張可買入及賣出股票名單,In,
601012,隆基股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601010,文峰股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
601009,南京銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
601006,大秦鐵路,加入,2014-11-17,首張可買入及賣出股票名單,In,
601005,重慶鋼鐵,加入,2014-11-17,首張可買入及賣出股票名單,In,
601002,晉億實業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601001,大同煤業,加入,2014-11-17,首張可買入及賣出股票名單,In,
601000,唐山港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600999,招商證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
600998,九州通,加入,2014-11-17,首張可買入及賣出股票名單,In,
600997,開灤股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600995,文山電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600993,馬應龍,加入,2014-11-17,首張可買入及賣出股票名單,In,
600990,四創電子,加入,2014-11-17,首張可買入及賣出股票名單,In,
600987,航民股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600985,雷鳴科化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600983,合肥三洋,加入,2014-11-17,首張可買入及賣出股票名單,In,
600979,廣安愛眾,加入,2014-11-17,首張可買入及賣出股票名單,In,
600978,宜華木業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600976,武漢健民,加入,2014-11-17,首張可買入及賣出股票名單,In,
600975,新五豐,加入,2014-11-17,首張可買入及賣出股票名單,In,
600973,寶勝股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600971,恒源煤電,加入,2014-11-17,首張可買入及賣出股票名單,In,
600970,中材國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600967,北方創業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600965,福成五豐,加入,2014-11-17,首張可買入及賣出股票名單,In,
600963,岳陽林紙,加入,2014-11-17,首張可買入及賣出股票名單,In,
600900,長江電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600897,廈門空港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600893,航空動力,加入,2014-11-17,首張可買入及賣出股票名單,In,
601777,力帆股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600548,深高速,加入,2014-11-17,首張可買入及賣出股票名單,In,
600546,山煤國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600183,生益科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600177,雅戈爾,加入,2014-11-17,首張可買入及賣出股票名單,In,
600176,中國玻纖,加入,2014-11-17,首張可買入及賣出股票名單,In,
600175,美都能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600172,黃河旋風,加入,2014-11-17,首張可買入及賣出股票名單,In,
600171,上海貝嶺,加入,2014-11-17,首張可買入及賣出股票名單,In,
600170,上海建工,加入,2014-11-17,首張可買入及賣出股票名單,In,
600168,武漢控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600167,聯美控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600166,福田汽車,加入,2014-11-17,首張可買入及賣出股票名單,In,
600162,香江控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600161,天壇生物,加入,2014-11-17,首張可買入及賣出股票名單,In,
600160,巨化股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600158,中體產業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600157,永泰能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600153,建發股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600150,中國船舶,加入,2014-11-17,首張可買入及賣出股票名單,In,
600143,金發科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600141,興發集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600139,西部資源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600138,中青旅,加入,2014-11-17,首張可買入及賣出股票名單,In,
600135,樂凱膠片,加入,2014-11-17,首張可買入及賣出股票名單,In,
600132,重慶啤酒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600125,鐵龍物流,加入,2014-11-17,首張可買入及賣出股票名單,In,
600123,蘭花科創,加入,2014-11-17,首張可買入及賣出股票名單,In,
600122,宏圖高科,加入,2014-11-17,首張可買入及賣出股票名單,In,
600121,鄭州煤電,加入,2014-11-17,首張可買入及賣出股票名單,In,
600120,浙江東方,加入,2014-11-17,首張可買入及賣出股票名單,In,
600119,長江投資,加入,2014-11-17,首張可買入及賣出股票名單,In,
600185,格力地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600118,中國衛星,加入,2014-11-17,首張可買入及賣出股票名單,In,
600188,兗州煤業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600193,創興資源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600262,北方股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600261,陽光照明,加入,2014-11-17,首張可買入及賣出股票名單,In,
600260,凱樂科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600259,廣晟有色,加入,2014-11-17,首張可買入及賣出股票名單,In,
600258,首旅酒店,加入,2014-11-17,首張可買入及賣出股票名單,In,
600257,大湖股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600256,廣匯能源,加入,2014-11-17,首張可買入及賣出股票名單,In,
600252,中恒集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600251,冠農股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600248,延長化建,加入,2014-11-17,首張可買入及賣出股票名單,In,
600246,萬通地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600240,華業地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600239,雲南城投,加入,2014-11-17,首張可買入及賣出股票名單,In,
600238,海南椰島,加入,2014-11-17,首張可買入及賣出股票名單,In,
600236,桂冠電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600230,滄州大化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600227,赤天化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600221,海南航空,加入,2014-11-17,首張可買入及賣出股票名單,In,
