comparison,high_strategy,low_or_base_strategy,window,metric,N,批次数,均值,中位数,标准差,胜率,t_p,Wilcoxon_p,最小值,最大值
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_PLUS5,diff_raw,897,28,0.004201217930644656,0.0020902517018495555,0.02685069607182816,0.5357142857142857,0.41496325753083535,0.5651319026947021,-0.06811054619888911,0.07566279394195863
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_PLUS5,diff_ar,897,28,0.003499866489238891,0.0005490417284030585,0.023492510627570774,0.5357142857142857,0.4373781580769112,0.437446653842926,-0.06648514130724831,0.05024274439141768
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,EFF_1_20,diff_raw,899,28,0.004336089683722682,-0.0021465231638216824,0.049733629863972215,0.39285714285714285,0.6482453356276031,0.5482756793498993,-0.04548424585108683,0.19923387242612356
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,EFF_1_20,diff_ar,899,28,-0.0011368555520213162,-0.003504131846038719,0.03330989544556574,0.39285714285714285,0.8580324953709554,0.437446653842926,-0.04235142078719495,0.09284310016936667
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,EFF_1_5,diff_raw,897,28,0.00250080881158619,0.0,0.02210961215169205,0.4642857142857143,0.5544817070321282,0.9006587266921997,-0.038985363764144784,0.07069249318906229
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,EFF_1_5,diff_ar,897,28,0.001180878782154069,0.0008885151497717406,0.017011921587966966,0.5,0.7162523424658301,0.8028007447719574,-0.037495100904051004,0.03724166666666663
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_20,diff_raw,775,28,0.026730351342060105,0.007200801658434347,0.10335850055530638,0.6785714285714286,0.18244299852153115,0.1698138564825058,-0.13397411621990357,0.47429911695852933
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_20,diff_ar,775,28,0.014266936368373217,0.007057452481916615,0.0719408171276511,0.6785714285714286,0.3033042641134725,0.2686719596385956,-0.18875264601211186,0.2090446144031267
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_5,diff_raw,775,28,0.0023095034240746388,0.001568613906578726,0.024983081402970612,0.5357142857142857,0.6286781917662446,0.6445824354887009,-0.04244300735309675,0.053407225896628885
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_5,diff_ar,775,28,0.0018607177079353332,0.0017786648801167279,0.024681278926401356,0.5714285714285714,0.6930857568992721,0.6789510101079941,-0.041961028739659824,0.062194117062594305
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_MINUS1,diff_raw,733,23,0.001349634295709907,-0.0008349206349206328,0.02077677394111906,0.43478260869565216,0.7583296490229753,0.7990336418151855,-0.04244300735309675,0.053407225896628885
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_MINUS1,diff_ar,733,23,0.0016809431356180147,-0.00015739665117848437,0.02140356300333388,0.43478260869565216,0.7100465573847801,0.898735523223877,-0.040678311810925856,0.062194117062594305
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_PLUS5,diff_raw,775,28,0.00012649684713836863,-0.00027089993333567763,0.03856001879635492,0.4642857142857143,0.9862779626947549,0.9717257022857666,-0.06654433213439676,0.09840593114219487
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_PLUS5,diff_ar,775,28,-0.001389588963452685,-0.00047488103372761957,0.03806278405275087,0.4642857142857143,0.8482629477384103,0.8039880394935608,-0.0892326979043464,0.07765028353465135
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,EFF_1_20,diff_raw,776,28,0.02047857838857677,0.010245795274200768,0.11626259537848055,0.5714285714285714,0.3595712720675036,0.2583710700273514,-0.3003446371110135,0.4600174438643755
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,EFF_1_20,diff_ar,776,28,0.009356030020134878,0.0015996262331092366,0.08374319433628889,0.5357142857142857,0.5593158189994515,0.37350593507289886,-0.28843595955929946,0.20909133353196924
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,EFF_1_5,diff_raw,775,28,-0.0025901536046015103,-0.0008655320687729843,0.04517856119233464,0.42857142857142855,0.7639335249292832,0.6445824354887009,-0.15334794063983148,0.10589417535329526
HIGH_TOP30_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LONG,EFF_1_5,diff_ar,775,28,-0.004297954989049333,-0.0002759393994407847,0.04002581894498356,0.4642857142857143,0.5745952445814015,0.6616804599761963,-0.1478465412545959,0.08376666666666666
